global_index,scene_id,scene_key,crop_group,crop_name,region_group,region_name,date,region_code,field_code,image_index,height,width,bands,band_order,blue_tif,green_tif,red_tif,rededge_tif,nir_tif,json_path,hr_npy,lr_x2_npy,lr_x3_npy,lr_x4_npy,status
10,scene_000010,220719KW0290031,1,배추,1,강원도,220719,KW,029,0031,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0031.tif,220719KW029G0031.tif,220719KW029R0031.tif,220719KW029E0031.tif,220719KW029N0031.tif,220719KW029B0031.json,HR_npy/scene_000010_1배추_1강원도_HR.npy,LR_x2_npy/scene_000010_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000010_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000010_1배추_1강원도_LR_x4.npy,success
11,scene_000011,220719KW0290038,1,배추,1,강원도,220719,KW,029,0038,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0038.tif,220719KW029G0038.tif,220719KW029R0038.tif,220719KW029E0038.tif,220719KW029N0038.tif,220719KW029B0038.json,HR_npy/scene_000011_1배추_1강원도_HR.npy,LR_x2_npy/scene_000011_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000011_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000011_1배추_1강원도_LR_x4.npy,success
12,scene_000012,220719KW0290039,1,배추,1,강원도,220719,KW,029,0039,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0039.tif,220719KW029G0039.tif,220719KW029R0039.tif,220719KW029E0039.tif,220719KW029N0039.tif,220719KW029B0039.json,HR_npy/scene_000012_1배추_1강원도_HR.npy,LR_x2_npy/scene_000012_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000012_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000012_1배추_1강원도_LR_x4.npy,success
13,scene_000013,220719KW0290040,1,배추,1,강원도,220719,KW,029,0040,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0040.tif,220719KW029G0040.tif,220719KW029R0040.tif,220719KW029E0040.tif,220719KW029N0040.tif,220719KW029B0040.json,HR_npy/scene_000013_1배추_1강원도_HR.npy,LR_x2_npy/scene_000013_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000013_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000013_1배추_1강원도_LR_x4.npy,success
14,scene_000014,220719KW0290041,1,배추,1,강원도,220719,KW,029,0041,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0041.tif,220719KW029G0041.tif,220719KW029R0041.tif,220719KW029E0041.tif,220719KW029N0041.tif,220719KW029B0041.json,HR_npy/scene_000014_1배추_1강원도_HR.npy,LR_x2_npy/scene_000014_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000014_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000014_1배추_1강원도_LR_x4.npy,success
15,scene_000015,220719KW0290042,1,배추,1,강원도,220719,KW,029,0042,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0042.tif,220719KW029G0042.tif,220719KW029R0042.tif,220719KW029E0042.tif,220719KW029N0042.tif,220719KW029B0042.json,HR_npy/scene_000015_1배추_1강원도_HR.npy,LR_x2_npy/scene_000015_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000015_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000015_1배추_1강원도_LR_x4.npy,success
16,scene_000016,220719KW0290043,1,배추,1,강원도,220719,KW,029,0043,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0043.tif,220719KW029G0043.tif,220719KW029R0043.tif,220719KW029E0043.tif,220719KW029N0043.tif,220719KW029B0043.json,HR_npy/scene_000016_1배추_1강원도_HR.npy,LR_x2_npy/scene_000016_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000016_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000016_1배추_1강원도_LR_x4.npy,success
17,scene_000017,220719KW0290044,1,배추,1,강원도,220719,KW,029,0044,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0044.tif,220719KW029G0044.tif,220719KW029R0044.tif,220719KW029E0044.tif,220719KW029N0044.tif,220719KW029B0044.json,HR_npy/scene_000017_1배추_1강원도_HR.npy,LR_x2_npy/scene_000017_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000017_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000017_1배추_1강원도_LR_x4.npy,success
18,scene_000018,220719KW0290045,1,배추,1,강원도,220719,KW,029,0045,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0045.tif,220719KW029G0045.tif,220719KW029R0045.tif,220719KW029E0045.tif,220719KW029N0045.tif,220719KW029B0045.json,HR_npy/scene_000018_1배추_1강원도_HR.npy,LR_x2_npy/scene_000018_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000018_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000018_1배추_1강원도_LR_x4.npy,success
19,scene_000019,220719KW0290046,1,배추,1,강원도,220719,KW,029,0046,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0046.tif,220719KW029G0046.tif,220719KW029R0046.tif,220719KW029E0046.tif,220719KW029N0046.tif,220719KW029B0046.json,HR_npy/scene_000019_1배추_1강원도_HR.npy,LR_x2_npy/scene_000019_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000019_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000019_1배추_1강원도_LR_x4.npy,success
20,scene_000020,220719KW0290047,1,배추,1,강원도,220719,KW,029,0047,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0047.tif,220719KW029G0047.tif,220719KW029R0047.tif,220719KW029E0047.tif,220719KW029N0047.tif,220719KW029B0047.json,HR_npy/scene_000020_1배추_1강원도_HR.npy,LR_x2_npy/scene_000020_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000020_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000020_1배추_1강원도_LR_x4.npy,success
21,scene_000021,220719KW0290055,1,배추,1,강원도,220719,KW,029,0055,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0055.tif,220719KW029G0055.tif,220719KW029R0055.tif,220719KW029E0055.tif,220719KW029N0055.tif,220719KW029B0055.json,HR_npy/scene_000021_1배추_1강원도_HR.npy,LR_x2_npy/scene_000021_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000021_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000021_1배추_1강원도_LR_x4.npy,success
22,scene_000022,220719KW0290056,1,배추,1,강원도,220719,KW,029,0056,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0056.tif,220719KW029G0056.tif,220719KW029R0056.tif,220719KW029E0056.tif,220719KW029N0056.tif,220719KW029B0056.json,HR_npy/scene_000022_1배추_1강원도_HR.npy,LR_x2_npy/scene_000022_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000022_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000022_1배추_1강원도_LR_x4.npy,success
23,scene_000023,220719KW0290057,1,배추,1,강원도,220719,KW,029,0057,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0057.tif,220719KW029G0057.tif,220719KW029R0057.tif,220719KW029E0057.tif,220719KW029N0057.tif,220719KW029B0057.json,HR_npy/scene_000023_1배추_1강원도_HR.npy,LR_x2_npy/scene_000023_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000023_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000023_1배추_1강원도_LR_x4.npy,success
24,scene_000024,220719KW0290058,1,배추,1,강원도,220719,KW,029,0058,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0058.tif,220719KW029G0058.tif,220719KW029R0058.tif,220719KW029E0058.tif,220719KW029N0058.tif,220719KW029B0058.json,HR_npy/scene_000024_1배추_1강원도_HR.npy,LR_x2_npy/scene_000024_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000024_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000024_1배추_1강원도_LR_x4.npy,success
25,scene_000025,220719KW0290059,1,배추,1,강원도,220719,KW,029,0059,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0059.tif,220719KW029G0059.tif,220719KW029R0059.tif,220719KW029E0059.tif,220719KW029N0059.tif,220719KW029B0059.json,HR_npy/scene_000025_1배추_1강원도_HR.npy,LR_x2_npy/scene_000025_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000025_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000025_1배추_1강원도_LR_x4.npy,success
26,scene_000026,220719KW0290060,1,배추,1,강원도,220719,KW,029,0060,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0060.tif,220719KW029G0060.tif,220719KW029R0060.tif,220719KW029E0060.tif,220719KW029N0060.tif,220719KW029B0060.json,HR_npy/scene_000026_1배추_1강원도_HR.npy,LR_x2_npy/scene_000026_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000026_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000026_1배추_1강원도_LR_x4.npy,success
27,scene_000027,220719KW0290061,1,배추,1,강원도,220719,KW,029,0061,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0061.tif,220719KW029G0061.tif,220719KW029R0061.tif,220719KW029E0061.tif,220719KW029N0061.tif,220719KW029B0061.json,HR_npy/scene_000027_1배추_1강원도_HR.npy,LR_x2_npy/scene_000027_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000027_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000027_1배추_1강원도_LR_x4.npy,success
28,scene_000028,220719KW0290062,1,배추,1,강원도,220719,KW,029,0062,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0062.tif,220719KW029G0062.tif,220719KW029R0062.tif,220719KW029E0062.tif,220719KW029N0062.tif,220719KW029B0062.json,HR_npy/scene_000028_1배추_1강원도_HR.npy,LR_x2_npy/scene_000028_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000028_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000028_1배추_1강원도_LR_x4.npy,success
29,scene_000029,220719KW0290070,1,배추,1,강원도,220719,KW,029,0070,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0070.tif,220719KW029G0070.tif,220719KW029R0070.tif,220719KW029E0070.tif,220719KW029N0070.tif,220719KW029B0070.json,HR_npy/scene_000029_1배추_1강원도_HR.npy,LR_x2_npy/scene_000029_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000029_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000029_1배추_1강원도_LR_x4.npy,success
30,scene_000030,220719KW0290071,1,배추,1,강원도,220719,KW,029,0071,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0071.tif,220719KW029G0071.tif,220719KW029R0071.tif,220719KW029E0071.tif,220719KW029N0071.tif,220719KW029B0071.json,HR_npy/scene_000030_1배추_1강원도_HR.npy,LR_x2_npy/scene_000030_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000030_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000030_1배추_1강원도_LR_x4.npy,success
31,scene_000031,220719KW0290072,1,배추,1,강원도,220719,KW,029,0072,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0072.tif,220719KW029G0072.tif,220719KW029R0072.tif,220719KW029E0072.tif,220719KW029N0072.tif,220719KW029B0072.json,HR_npy/scene_000031_1배추_1강원도_HR.npy,LR_x2_npy/scene_000031_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000031_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000031_1배추_1강원도_LR_x4.npy,success
32,scene_000032,220719KW0290073,1,배추,1,강원도,220719,KW,029,0073,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0073.tif,220719KW029G0073.tif,220719KW029R0073.tif,220719KW029E0073.tif,220719KW029N0073.tif,220719KW029B0073.json,HR_npy/scene_000032_1배추_1강원도_HR.npy,LR_x2_npy/scene_000032_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000032_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000032_1배추_1강원도_LR_x4.npy,success
33,scene_000033,220719KW0290074,1,배추,1,강원도,220719,KW,029,0074,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0074.tif,220719KW029G0074.tif,220719KW029R0074.tif,220719KW029E0074.tif,220719KW029N0074.tif,220719KW029B0074.json,HR_npy/scene_000033_1배추_1강원도_HR.npy,LR_x2_npy/scene_000033_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000033_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000033_1배추_1강원도_LR_x4.npy,success
34,scene_000034,220719KW0290075,1,배추,1,강원도,220719,KW,029,0075,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0075.tif,220719KW029G0075.tif,220719KW029R0075.tif,220719KW029E0075.tif,220719KW029N0075.tif,220719KW029B0075.json,HR_npy/scene_000034_1배추_1강원도_HR.npy,LR_x2_npy/scene_000034_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000034_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000034_1배추_1강원도_LR_x4.npy,success
35,scene_000035,220719KW0290076,1,배추,1,강원도,220719,KW,029,0076,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0076.tif,220719KW029G0076.tif,220719KW029R0076.tif,220719KW029E0076.tif,220719KW029N0076.tif,220719KW029B0076.json,HR_npy/scene_000035_1배추_1강원도_HR.npy,LR_x2_npy/scene_000035_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000035_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000035_1배추_1강원도_LR_x4.npy,success
36,scene_000036,220719KW0290085,1,배추,1,강원도,220719,KW,029,0085,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0085.tif,220719KW029G0085.tif,220719KW029R0085.tif,220719KW029E0085.tif,220719KW029N0085.tif,220719KW029B0085.json,HR_npy/scene_000036_1배추_1강원도_HR.npy,LR_x2_npy/scene_000036_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000036_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000036_1배추_1강원도_LR_x4.npy,success
37,scene_000037,220719KW0290086,1,배추,1,강원도,220719,KW,029,0086,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0086.tif,220719KW029G0086.tif,220719KW029R0086.tif,220719KW029E0086.tif,220719KW029N0086.tif,220719KW029B0086.json,HR_npy/scene_000037_1배추_1강원도_HR.npy,LR_x2_npy/scene_000037_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000037_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000037_1배추_1강원도_LR_x4.npy,success
38,scene_000038,220719KW0290087,1,배추,1,강원도,220719,KW,029,0087,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0087.tif,220719KW029G0087.tif,220719KW029R0087.tif,220719KW029E0087.tif,220719KW029N0087.tif,220719KW029B0087.json,HR_npy/scene_000038_1배추_1강원도_HR.npy,LR_x2_npy/scene_000038_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000038_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000038_1배추_1강원도_LR_x4.npy,success
39,scene_000039,220719KW0290088,1,배추,1,강원도,220719,KW,029,0088,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0088.tif,220719KW029G0088.tif,220719KW029R0088.tif,220719KW029E0088.tif,220719KW029N0088.tif,220719KW029B0088.json,HR_npy/scene_000039_1배추_1강원도_HR.npy,LR_x2_npy/scene_000039_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000039_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000039_1배추_1강원도_LR_x4.npy,success
40,scene_000040,220719KW0290089,1,배추,1,강원도,220719,KW,029,0089,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0089.tif,220719KW029G0089.tif,220719KW029R0089.tif,220719KW029E0089.tif,220719KW029N0089.tif,220719KW029B0089.json,HR_npy/scene_000040_1배추_1강원도_HR.npy,LR_x2_npy/scene_000040_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000040_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000040_1배추_1강원도_LR_x4.npy,success
41,scene_000041,220719KW0290090,1,배추,1,강원도,220719,KW,029,0090,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0090.tif,220719KW029G0090.tif,220719KW029R0090.tif,220719KW029E0090.tif,220719KW029N0090.tif,220719KW029B0090.json,HR_npy/scene_000041_1배추_1강원도_HR.npy,LR_x2_npy/scene_000041_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000041_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000041_1배추_1강원도_LR_x4.npy,success
42,scene_000042,220719KW0290091,1,배추,1,강원도,220719,KW,029,0091,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0091.tif,220719KW029G0091.tif,220719KW029R0091.tif,220719KW029E0091.tif,220719KW029N0091.tif,220719KW029B0091.json,HR_npy/scene_000042_1배추_1강원도_HR.npy,LR_x2_npy/scene_000042_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000042_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000042_1배추_1강원도_LR_x4.npy,success
43,scene_000043,220719KW0290101,1,배추,1,강원도,220719,KW,029,0101,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0101.tif,220719KW029G0101.tif,220719KW029R0101.tif,220719KW029E0101.tif,220719KW029N0101.tif,220719KW029B0101.json,HR_npy/scene_000043_1배추_1강원도_HR.npy,LR_x2_npy/scene_000043_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000043_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000043_1배추_1강원도_LR_x4.npy,success
44,scene_000044,220719KW0290102,1,배추,1,강원도,220719,KW,029,0102,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0102.tif,220719KW029G0102.tif,220719KW029R0102.tif,220719KW029E0102.tif,220719KW029N0102.tif,220719KW029B0102.json,HR_npy/scene_000044_1배추_1강원도_HR.npy,LR_x2_npy/scene_000044_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000044_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000044_1배추_1강원도_LR_x4.npy,success
45,scene_000045,220719KW0290103,1,배추,1,강원도,220719,KW,029,0103,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0103.tif,220719KW029G0103.tif,220719KW029R0103.tif,220719KW029E0103.tif,220719KW029N0103.tif,220719KW029B0103.json,HR_npy/scene_000045_1배추_1강원도_HR.npy,LR_x2_npy/scene_000045_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000045_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000045_1배추_1강원도_LR_x4.npy,success
46,scene_000046,220719KW0290117,1,배추,1,강원도,220719,KW,029,0117,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0117.tif,220719KW029G0117.tif,220719KW029R0117.tif,220719KW029E0117.tif,220719KW029N0117.tif,220719KW029B0117.json,HR_npy/scene_000046_1배추_1강원도_HR.npy,LR_x2_npy/scene_000046_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000046_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000046_1배추_1강원도_LR_x4.npy,success
47,scene_000047,220719KW0290118,1,배추,1,강원도,220719,KW,029,0118,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0118.tif,220719KW029G0118.tif,220719KW029R0118.tif,220719KW029E0118.tif,220719KW029N0118.tif,220719KW029B0118.json,HR_npy/scene_000047_1배추_1강원도_HR.npy,LR_x2_npy/scene_000047_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000047_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000047_1배추_1강원도_LR_x4.npy,success
48,scene_000048,220719KW0290130,1,배추,1,강원도,220719,KW,029,0130,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0130.tif,220719KW029G0130.tif,220719KW029R0130.tif,220719KW029E0130.tif,220719KW029N0130.tif,220719KW029B0130.json,HR_npy/scene_000048_1배추_1강원도_HR.npy,LR_x2_npy/scene_000048_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000048_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000048_1배추_1강원도_LR_x4.npy,success
49,scene_000049,220719KW0290131,1,배추,1,강원도,220719,KW,029,0131,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0131.tif,220719KW029G0131.tif,220719KW029R0131.tif,220719KW029E0131.tif,220719KW029N0131.tif,220719KW029B0131.json,HR_npy/scene_000049_1배추_1강원도_HR.npy,LR_x2_npy/scene_000049_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000049_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000049_1배추_1강원도_LR_x4.npy,success
50,scene_000050,220719KW0290132,1,배추,1,강원도,220719,KW,029,0132,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0132.tif,220719KW029G0132.tif,220719KW029R0132.tif,220719KW029E0132.tif,220719KW029N0132.tif,220719KW029B0132.json,HR_npy/scene_000050_1배추_1강원도_HR.npy,LR_x2_npy/scene_000050_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000050_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000050_1배추_1강원도_LR_x4.npy,success
51,scene_000051,220719KW0290133,1,배추,1,강원도,220719,KW,029,0133,800,800,5,"Blue,Green,Red,RedEdge,NIR",220719KW029B0133.tif,220719KW029G0133.tif,220719KW029R0133.tif,220719KW029E0133.tif,220719KW029N0133.tif,220719KW029B0133.json,HR_npy/scene_000051_1배추_1강원도_HR.npy,LR_x2_npy/scene_000051_1배추_1강원도_LR_x2.npy,LR_x3_npy/scene_000051_1배추_1강원도_LR_x3.npy,LR_x4_npy/scene_000051_1배추_1강원도_LR_x4.npy,success
